respondent_id,year,org_encouragement,org_preparedness,policy_suits_me,choice_autonomy
2020_1,2020,,,,
2020_2,2020,Somewhat agree,Somewhat agree,,
2020_3,2020,Somewhat agree,Somewhat agree,,
2020_4,2020,Strongly disagree,Somewhat agree,,
2020_5,2020,Strongly disagree,Somewhat agree,,
2020_6,2020,Somewhat agree,Strongly agree,,
2020_7,2020,,,,
2020_8,2020,Strongly agree,Strongly agree,,
2020_9,2020,Strongly agree,Somewhat agree,,
2020_10,2020,Somewhat disagree,Somewhat agree,,
2020_11,2020,,,,
2020_12,2020,,,,
2020_13,2020,Somewhat agree,Somewhat agree,,
2020_14,2020,Neither agree nor disagree,Somewhat agree,,
2020_15,2020,Neither agree nor disagree,Somewhat agree,,
2020_16,2020,,,,
2020_17,2020,,,,
2020_18,2020,Strongly agree,Somewhat disagree,,
2020_19,2020,Strongly agree,Strongly agree,,
2020_20,2020,Strongly disagree,Strongly disagree,,
2020_21,2020,Somewhat agree,Somewhat agree,,
2020_22,2020,,,,
2020_23,2020,Neither agree nor disagree,Strongly agree,,
2020_24,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_25,2020,Neither agree nor disagree,Strongly agree,,
2020_26,2020,Strongly disagree,Somewhat disagree,,
2020_27,2020,Somewhat disagree,Somewhat disagree,,
2020_28,2020,Strongly agree,Strongly agree,,
2020_29,2020,Neither agree nor disagree,Somewhat agree,,
2020_30,2020,Strongly agree,Strongly agree,,
2020_31,2020,Strongly agree,Strongly agree,,
2020_32,2020,Strongly agree,Somewhat agree,,
2020_33,2020,Strongly agree,Neither agree nor disagree,,
2020_34,2020,Strongly disagree,Somewhat agree,,
2020_35,2020,Strongly agree,Somewhat agree,,
2020_36,2020,,,,
2020_37,2020,Somewhat agree,Strongly agree,,
2020_38,2020,,,,
2020_39,2020,Somewhat agree,Somewhat agree,,
2020_40,2020,Somewhat agree,Somewhat agree,,
2020_41,2020,,,,
2020_42,2020,Strongly agree,Somewhat agree,,
2020_43,2020,Somewhat disagree,Somewhat agree,,
2020_44,2020,Somewhat disagree,Strongly disagree,,
2020_45,2020,Somewhat disagree,Strongly agree,,
2020_46,2020,Neither agree nor disagree,Strongly agree,,
2020_47,2020,Neither agree nor disagree,Somewhat agree,,
2020_48,2020,,,,
2020_49,2020,Somewhat disagree,Neither agree nor disagree,,
2020_50,2020,,,,
2020_51,2020,Somewhat agree,Strongly agree,,
2020_52,2020,Neither agree nor disagree,Strongly agree,,
2020_53,2020,Somewhat disagree,Somewhat agree,,
2020_54,2020,Somewhat disagree,Strongly agree,,
2020_55,2020,Somewhat agree,Somewhat disagree,,
2020_56,2020,,,,
2020_57,2020,Somewhat agree,Strongly agree,,
2020_58,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_59,2020,Somewhat agree,Somewhat agree,,
2020_60,2020,Strongly agree,Strongly agree,,
2020_61,2020,Somewhat disagree,Somewhat disagree,,
2020_62,2020,,,,
2020_63,2020,Neither agree nor disagree,Neither agree nor disagree,,
2020_64,2020,Strongly agree,Strongly agree,,
2020_65,2020,Strongly disagree,Somewhat agree,,
2020_66,2020,,,,
2020_67,2020,Strongly agree,Strongly agree,,
2020_68,2020,Neither agree nor disagree,Strongly agree,,
2020_69,2020,,,,
2020_70,2020,,,,
2020_71,2020,Strongly agree,Strongly agree,,
2020_72,2020,Strongly disagree,Somewhat agree,,
2020_73,2020,Strongly agree,Strongly agree,,
2020_74,2020,Somewhat disagree,Somewhat agree,,
